year,mean_temp
1951,8.462859597902884
2020,9.841939353539445
1993,7.817091658791234
1983,8.538273901939606
2006,9.253463081094461
2016,9.780488473741055
1958,9.624980311417128
1977,9.115763945141984
1967,8.662297207596417
1982,7.766138309482021
1992,9.466756530984204
2017,9.811738473741055
2007,9.597535130057153
1959,9.198131131587237
1966,8.978437485936727
1976,8.607829446244544
1950,9.154289579676883
2021,10.033320817019936
2005,9.181983680977453
2015,10.308122102965664
1990,8.765046296296296
1980,9.093202235497952
1974,8.898267685972728
1964,7.7035919006795375
1989,8.712737247423608
1999,9.178517787228298
1952,8.369013264479547
2023,8.564508938616624
1998,8.501222098465416
1988,9.07672640745241
1953,9.185726621214167
2022,9.24558975743666
2014,10.23703155236038
2004,9.171355362044913
1981,9.896052720399622
1991,8.555406484856666
1965,8.21121067908735
1975,7.750149070698888
1970,8.530387218171999
1960,9.03970132419783
1994,9.304251890103956
1984,7.8863153098420415
2001,9.628224708608974
2011,8.383699540974753
1969,8.778300228387561
1979,8.645359401017055
2018,9.763329170604383
2008,8.826234192880609
1956,8.737011160613834
1978,8.578063121596688
1968,8.494871827325502
2009,8.863569371315423
2019,8.495548270779892
1957,8.494829637505063
1961,8.902568938166599
1971,7.977193589397417
1985,8.035350147383106
1995,9.216303693578146
2010,8.73852507200396
2000,9.629663381485981
1955,7.8485997198595925
1973,8.336536243868412
1963,8.861329091850052
2002,9.117452944286935
2012,10.138160411322623
1997,8.941739373790558
1987,9.03393116308897
1962,8.724613681877504
1972,8.599807755051527
2013,8.739163544619954
2003,10.041151247693623
1986,9.498396786823275
1996,9.477429149228207
1954,9.40083142072814
