date,pr,eto,soil_moisture_am
2020-04-01,0.0,6.3073364680933866,0.07043571266644688
2020-04-02,0.0,2.3222480274533996,
2020-04-03,0.0,2.988755975441854,0.05137705440728335
2020-04-04,0.0,4.50119759905244,0.03978491345372825
2020-04-05,0.0,6.503596684960105,
2020-04-06,0.0,7.465180527682923,0.0446318407400366
2020-04-07,0.0,6.452774279177255,
2020-04-08,0.0,6.653200619092763,0.05861350809552925
2020-04-09,0.0,4.049194564698745,0.04915117291159261
2020-04-10,0.0,6.5901004244944845,
2020-04-11,0.0,7.100696526917752,0.044677993138132366
2020-04-12,0.0,2.6972650771464046,0.04191830884534028
2020-04-13,0.908339895107084,2.00033444910186,
2020-04-14,0.0,2.9050094562560345,0.024747090464976286
2020-04-15,0.0,4.288283726971262,
2020-04-16,0.005804344408127699,3.93660212799049,0.046604288622403324
2020-04-17,0.0,3.89168508109494,0.03591379134925689
2020-04-18,0.0,6.015535984492651,
2020-04-19,0.034786715157131845,4.8355802840692155,0.0404563202190949
2020-04-20,0.008518285543513051,4.20536355555974,0.05810788198808274
2020-04-21,9.122189026663504,3.693109545316656,
2020-04-22,0.19189097155343887,4.694939427300989,0.1933117025896412
2020-04-23,0.006462826068444245,5.980677113277076,
2020-04-24,0.0,5.130873911565534,0.13533213760352544
2020-04-25,0.0,4.232891259823149,0.11764107982979052
2020-04-26,0.0,6.128327816304145,
2020-04-27,0.0,6.145229271597963,0.08634135552507877
2020-04-28,0.0,7.571217014054148,0.06738646034918581
2020-04-29,0.0,6.680851569486706,
2020-04-30,0.0,7.950760773217869,0.04623015568260788
2020-05-01,0.0,7.79013459145432,
2020-05-02,0.0,5.971143572820473,0.06016450549710943
2020-05-03,0.0,6.841410945311091,0.05048330394000252
2020-05-04,0.732415137234615,6.557394172069602,
2020-05-05,0.0,5.377096136342229,0.09054457860957714
2020-05-06,0.0,6.570847053969167,0.065675281528333
2020-05-07,0.0,8.037046788315362,
2020-05-08,0.0,5.262555778223605,0.03992688853972493
2020-05-09,0.0,6.488973703068661,
2020-05-10,0.0,5.323662170052086,0.04261367433808373
2020-05-11,1.6442140204357674,2.815208039558211,0.03555770759808958
2020-05-12,0.3476113649027015,3.1117267443266976,
2020-05-13,0.0,8.649357378448416,0.09688175068844236
2020-05-14,1.0907143644992054,6.7350359220208045,0.04652816577663433
2020-05-15,7.359395787666374,6.155002927372344,
2020-05-16,0.22238706352687718,5.640974076123596,0.20917732988532728
2020-05-17,0.0,6.107088567527709,
2020-05-18,0.0,7.654375923512409,0.08727468208524689
2020-05-19,0.0,7.400679524994779,0.06182639261770111
2020-05-20,0.0010034629707728225,7.982349591750816,
2020-05-21,2.7910829400711625,6.340095241282832,0.05038306418224037
2020-05-22,0.0006847159094685142,6.628398633965217,0.12321410504660599
2020-05-23,0.0,10.018527959199833,
2020-05-24,6.858165425197282,6.0318759711756105,0.06104422952885786
2020-05-25,0.07948475916512686,4.818474149146054,
2020-05-26,0.0,6.531007641728699,
2020-05-27,0.0015425783707566523,6.893015073963088,0.08587551885417641
2020-05-28,0.0,6.973681691848905,
2020-05-29,0.0,9.161768715368739,0.0592665191380345
2020-05-30,0.3311532664231147,10.190803549123201,0.0497832879954257
2020-05-31,0.0,10.484983444964437,
2020-06-01,0.0,10.282420347780077,0.057733674796804496
2020-06-02,0.08791515766656427,8.118979205927086,
2020-06-03,1.0364198150767339,6.984155788408622,
2020-06-04,0.0,7.100768660278097,0.09907067531653445
2020-06-05,0.0,9.740415291055893,
2020-06-06,0.0,12.700485336723633,0.05245599779651
2020-06-07,0.0,12.973090176017159,0.04672664403134274
2020-06-08,0.0,10.867950874783759,
2020-06-09,4.367966542300438,4.22475339180588,0.054099670478946
2020-06-10,0.0,6.545709419941013,
2020-06-11,0.0,8.995516502855331,0.07155063189566135
2020-06-12,0.1123235730173937,9.019068403442668,0.08622685845743303
2020-06-13,0.0,11.91300041554601,
2020-06-14,0.0,12.430989278701967,
2020-06-15,0.0,12.043803360237147,0.04763863927162125
2020-06-16,0.0090049323783453,11.700434166459777,
2020-06-17,0.0,12.413357236751999,0.05490168194284133
