date,pr,eto,soil_moisture_am
2020-04-01,0.0,3.982234319569409,
2020-04-02,0.0,3.9184420685837242,0.2281659490028442
2020-04-03,0.0,4.138049390120208,0.22724062852237545
2020-04-04,0.0002536231984838772,4.081648556564167,
2020-04-05,22.071763474929746,2.811787453653733,0.16668812550136436
2020-04-06,4.65817030063574,2.8089251427834747,
2020-04-07,4.030175152608163,3.141805537772065,
2020-04-08,12.375048389757318,1.7467270680383788,0.32396696172474676
2020-04-09,1.0940519240527342,2.3134299623793457,
2020-04-10,0.0,3.5167632489388705,0.3144388356790451
2020-04-11,0.0,3.8123852481012768,0.26395349391344664
2020-04-12,0.002977053140816482,4.1292873458585895,
2020-04-13,0.0002536231984838772,4.086678651623106,0.22976482767917686
2020-04-14,0.0,4.772632863556131,
2020-04-15,0.0,4.51669687430064,
2020-04-16,0.0,4.238665471963838,0.20468328993245605
2020-04-17,6.328985494807148,3.2763647624259993,
2020-04-18,1.1455374470331536,2.948194424714444,0.29856837977821704
2020-04-19,0.0,4.487493957068033,0.2500781986088569
2020-04-20,1.5748732042845321,3.1049999678768407,
2020-04-21,0.0,4.201829747071015,0.22404904719712082
2020-04-22,0.0,5.161249904125786,
2020-04-23,0.0,5.798266996508063,
2020-04-24,0.0,5.466026592139463,0.18464665936603067
2020-04-25,0.0,5.397041125689153,
2020-04-26,0.0,6.041346546877987,0.1723718003230395
2020-04-27,0.0,6.219631695171486,0.173397805383384
2020-04-28,0.0,5.655477051228144,
2020-04-29,0.0,5.810483181649362,0.15171132609788063
2020-04-30,0.0,6.500887707926802,
2020-05-01,0.0,6.272995222248318,
2020-05-02,0.0,6.372711427430602,0.15704758819822534
2020-05-03,0.0,5.790078605545895,
2020-05-04,0.0323369568888692,6.221425061755711,0.15697438978198652
2020-05-05,0.0,6.587161775602813,
2020-05-06,0.0,6.484782635762498,
2020-05-07,0.0,6.589214954975148,0.14363567674361566
2020-05-08,0.0,6.774541104243,
2020-05-09,0.0,6.416376783652009,
2020-05-10,0.0,6.483538580171155,0.14432689310163985
2020-05-11,0.0,6.782475751264085,
2020-05-12,0.0,5.289045818416393,0.13612044836947887
2020-05-13,0.0,5.98409425555796,0.1346249721890343
2020-05-14,0.0,6.360785111367417,
2020-05-15,0.0,6.630966090695296,0.13297303459890514
2020-05-16,0.0,6.294215094870418,
2020-05-17,4.688973442713421,6.369945651206419,
2020-05-18,5.469365924337638,4.164522918238157,0.27205164749985167
2020-05-19,0.02716787524593338,5.088279104002434,
2020-05-20,0.0,6.149353792010875,0.17211087081167437
2020-05-21,0.0,6.607481832550344,0.14940208569169044
2020-05-22,0.0,7.27039856484547,
2020-05-23,0.0,7.1088284700964985,0.1542755861573174
2020-05-24,0.0,7.243007308849393,
2020-05-25,0.0,7.0804588628851866,
2020-05-26,0.0,7.111262122444487,
2020-05-27,0.0,8.7830011598154,
2020-05-28,0.0,8.780126775520438,0.14905962398734648
2020-05-29,0.0,6.948417943111365,0.13663496148867021
2020-05-30,0.0,5.427632880901946,
2020-05-31,0.0,5.598260784033995,0.13898170014870345
2020-06-01,0.0,6.2569928009153,
2020-06-02,0.0,6.843858778073594,
2020-06-03,0.0,7.738834541085837,0.13389821024296658
2020-06-04,0.0,9.32952887217204,
2020-06-05,0.0,6.7142753736984355,0.149648064389321
2020-06-06,0.0,7.254058062051231,0.14386141469189231
2020-06-07,0.0,7.539625523631701,
2020-06-08,0.0,6.96804954948057,0.1303705782544066
2020-06-09,0.0,7.237306752527394,
2020-06-10,0.0,7.312959022452866,
2020-06-11,0.0,8.47331534975393,0.1452868672690674
2020-06-12,0.0,8.470652158248832,
2020-06-13,0.0,6.812536331075403,
2020-06-14,0.0,7.008321200016044,
2020-06-15,0.0,7.760096650538237,
2020-06-16,0.0,7.913701744931909,0.13870828521352463
2020-06-17,0.0,7.909106293853356,
2020-06-18,0.0,7.92597833843047,
2020-06-19,0.0,7.843061622674916,0.14932284441007224
2020-06-20,0.0,8.379076074056583,
2020-06-21,0.0,8.872922656386372,0.14614985246517231
2020-06-22,0.0,7.727095493371938,0.13449637678582313
2020-06-23,0.0,7.800555653387799,
2020-06-24,0.0,7.718357478593284,
2020-06-25,0.0,8.286261982387972,
2020-06-26,0.0,8.21844808917115,
2020-06-27,0.0,9.21619569944299,0.13784655905216214
2020-06-28,0.0,8.64170285906769,
2020-06-29,0.0,7.28295277028844,0.14384326656767427
2020-06-30,0.0,7.7265519918451,0.13533503551953951
2020-07-01,0.0,7.841630456988941,
